district_name,state_name,lat,lon
Andaman Islands,Andaman and Nicobar,12.3826,92.8229
Nicobar Islands,Andaman and Nicobar,7.8353,93.5116
Adilabad,Andhra Pradesh,19.2845,78.8132
Anantapur,Andhra Pradesh,14.3121,77.4602
Chittoor,Andhra Pradesh,13.3311,78.9276
Cuddapah,Andhra Pradesh,14.4903,78.6961
East Godavari,Andhra Pradesh,16.7827,82.2432
Guntur,Andhra Pradesh,15.8849,80.5866
Hyderabad,Andhra Pradesh,17.3897,78.4667
Karimnagar,Andhra Pradesh,18.5155,79.4377
Khammam,Andhra Pradesh,17.6839,80.6701
Krishna,Andhra Pradesh,16.1439,81.1481
Kurnool,Andhra Pradesh,15.4376,77.9009
Mahbubnagar,Andhra Pradesh,16.6395,77.9893
Medak,Andhra Pradesh,17.8893,78.1378
Nalgonda,Andhra Pradesh,17.1132,79.1698
Nellore,Andhra Pradesh,13.8943,80.147
Nizamabad,Andhra Pradesh,18.4295,78.0752
Prakasam,Andhra Pradesh,15.489,80.1167
Rangareddi,Andhra Pradesh,17.2537,78.0815
Srikakulam,Andhra Pradesh,18.5709,84.2587
Vishakhapatnam,Andhra Pradesh,17.6468,83.0101
Vizianagaram,Andhra Pradesh,18.2833,83.4598
Warangal,Andhra Pradesh,18.0175,79.8742
West Godavari,Andhra Pradesh,16.633,81.4591
Changlang,Arunachal Pradesh,27.3605,96.3755
East Kameng,Arunachal Pradesh,27.3712,93.0474
East Siang,Arunachal Pradesh,28.1538,95.065
Kurung Kumey,Arunachal Pradesh,28.0485,93.2453
Lohit,Arunachal Pradesh,27.9468,96.5967
Lower Dibang Valley,Arunachal Pradesh,28.3265,95.7657
Lower Subansiri,Arunachal Pradesh,27.7085,93.9623
Papum Pare,Arunachal Pradesh,27.2735,93.5447
Tawang,Arunachal Pradesh,27.6807,91.825
Tirap,Arunachal Pradesh,26.9441,95.4147
Upper Dibang Valley,Arunachal Pradesh,29.0199,95.9878
Upper Siang,Arunachal Pradesh,28.8309,95.0016
Upper Subansiri,Arunachal Pradesh,28.2772,93.8991
West Kameng,Arunachal Pradesh,27.4649,92.6502
West Siang,Arunachal Pradesh,28.1063,94.5351
Barpeta,Assam,26.4279,90.9791
Bongaigaon,Assam,26.4501,90.6734
Cachar,Assam,24.8156,92.8685
Darrang,Assam,26.5846,92.0414
Dhemaji,Assam,27.5865,94.7134
Dhuburi,Assam,26.0451,89.985
Dibrugarh,Assam,27.3061,95.0998
Goalpara,Assam,26.0173,90.5987
Golaghat,Assam,26.3772,93.8258
Hailakandi,Assam,24.4575,92.5915
Jorhat,Assam,26.7624,94.302
Kamrup,Assam,26.1709,91.5886
Karbi Anglong,Assam,26.0897,93.1154
Karimganj,Assam,24.6966,92.3679
Kokrajhar,Assam,26.4972,90.14
Lakhimpur,Assam,27.1413,94.0776
Marigaon,Assam,26.2465,92.2195
Nagaon,Assam,26.2646,92.9306
Nalbari,Assam,26.4632,91.406
North Cachar Hills,Assam,25.3383,92.9774
Sibsagar,Assam,27.0276,94.9003
Sonitpur,Assam,26.7351,92.852
Tinsukia,Assam,27.5355,95.6906
Araria,Bihar,26.2115,87.3077
Aurangabad,Bihar,24.7743,84.4599
Banka,Bihar,24.8324,86.8665
Begusarai,Bihar,25.543,86.1256
Bhabua,Bihar,25.0216,83.6113
Bhagalpur,Bihar,25.2772,87.0421
Bhojpur,Bihar,25.5067,84.4941
Buxar,Bihar,25.4859,84.0881
Darbhanga,Bihar,26.1462,85.9739
Gaya,Bihar,24.7267,84.9429
Gopalganj,Bihar,26.4487,84.3464
Jamui,Bihar,24.7842,86.2632
Jehanabad,Bihar,25.1557,84.9208
Katihar,Bihar,25.5657,87.7047
Khagaria,Bihar,25.5356,86.5659
Kishanganj,Bihar,26.3243,87.9505
Lakhisarai,Bihar,25.1835,86.1283
Madhepura,Bihar,25.7734,86.8978
Madhubani,Bihar,26.4138,86.1633
Munger,Bihar,25.1985,86.5417
Muzaffarpur,Bihar,26.1866,85.3274
Nalanda,Bihar,25.2293,85.4805
Nawada,Bihar,24.8257,85.6159
Pashchim Champaran,Bihar,27.1606,84.3027
Patna,Bihar,25.403,85.3198
Purba Champaran,Bihar,26.6813,85.0038
Purnia,Bihar,25.8171,87.4045
Rohtas,Bihar,24.9917,83.9351
Saharsa,Bihar,25.8213,86.5467
Samastipur,Bihar,25.7932,85.9483
Saran,Bihar,25.8966,84.8227
Sheikhpura,Bihar,25.1247,85.7784
Sheohar,Bihar,26.4584,85.2954
Sitamarhi,Bihar,26.5657,85.6117
Siwan,Bihar,26.1736,84.3377
Supaul,Bihar,26.2816,86.785
Vaishali,Bihar,25.8135,85.3925
Chandigarh,Chandigarh,30.7426,76.7587
Bastar,Chhattisgarh,19.3939,81.529
Bilaspur,Chhattisgarh,22.3569,81.9977
Dantewada,Chhattisgarh,18.6539,81.072
Dhamtari,Chhattisgarh,20.5549,81.7569
Durg,Chhattisgarh,21.1945,81.3318
Janjgir-Champa,Chhattisgarh,21.9611,82.805
Jashpur,Chhattisgarh,22.7729,83.8704
Kanker,Chhattisgarh,20.1395,81.0691
Kawardha,Chhattisgarh,22.048,81.1627
Korba,Chhattisgarh,22.4842,82.5886
Koriya,Chhattisgarh,23.5041,82.1252
Mahasamund,Chhattisgarh,21.2237,82.6593
Raigarh,Chhattisgarh,22.0083,83.278
Raipur,Chhattisgarh,20.886,82.2003
Raj Nandgaon,Chhattisgarh,21.0584,80.7853
Surguja,Chhattisgarh,23.3272,83.2358
Dadra and Nagar Haveli,Dadra and Nagar Haveli,20.2151,73.0946
Daman,Daman and Diu,20.4316,72.8392
Junagadh,Daman and Diu,20.7257,70.8399
Delhi,Delhi,28.6459,77.128
North Goa,Goa,15.5487,73.8067
South Goa,Goa,15.1953,73.9418
Ahmadabad,Gujarat,22.6054,72.239
Amreli,Gujarat,21.0483,71.4346
Anand,Gujarat,22.2827,72.5778
Banas Kantha,Gujarat,24.2585,71.9321
Bharuch,Gujarat,21.7579,72.6733
Bhavnagar,Gujarat,21.7022,72.1627
Dahod,Gujarat,22.898,73.9917
Gandhinagar,Gujarat,23.1937,72.6722
Jamnagar,Gujarat,22.4106,69.6206
