district_name,state_name,lat,lon
Andaman Islands,Andaman and Nicobar,11.85592,92.68185
Nicobar Islands,Andaman and Nicobar,7.01257,93.80729
Adilabad,Andhra Pradesh,19.28451,78.81321
Anantapur,Andhra Pradesh,14.31206,77.46016
Chittoor,Andhra Pradesh,13.33109,78.92764
Cuddapah,Andhra Pradesh,14.49029,78.69614
East Godavari,Andhra Pradesh,16.80969,82.22349
Guntur,Andhra Pradesh,15.89223,80.55223
Hyderabad,Andhra Pradesh,17.38971,78.46669
Karimnagar,Andhra Pradesh,18.51548,79.43765
Khammam,Andhra Pradesh,17.68392,80.67009
Krishna,Andhra Pradesh,16.14376,81.13509
Kurnool,Andhra Pradesh,15.4376,77.90087
Mahbubnagar,Andhra Pradesh,16.63955,77.98933
Medak,Andhra Pradesh,17.8893,78.13779
Nalgonda,Andhra Pradesh,17.11325,79.16984
Nellore,Andhra Pradesh,13.94221,80.14482
Nizamabad,Andhra Pradesh,18.42949,78.07524
Prakasam,Andhra Pradesh,15.49172,80.11655
Rangareddi,Andhra Pradesh,17.24523,78.05757
Srikakulam,Andhra Pradesh,18.5709,84.25875
Vishakhapatnam,Andhra Pradesh,17.64636,83.0032
Vizianagaram,Andhra Pradesh,18.2833,83.45983
Warangal,Andhra Pradesh,18.01752,79.87422
West Godavari,Andhra Pradesh,16.63298,81.45913
Changlang,Arunachal Pradesh,27.36048,96.37553
East Kameng,Arunachal Pradesh,27.37119,93.04742
East Siang,Arunachal Pradesh,28.15382,95.06499
Kurung Kumey,Arunachal Pradesh,28.04853,93.24532
Lohit,Arunachal Pradesh,27.94678,96.59671
Lower Dibang Valley,Arunachal Pradesh,28.32651,95.76567
Lower Subansiri,Arunachal Pradesh,27.70849,93.96226
Papum Pare,Arunachal Pradesh,27.27353,93.54469
Tawang,Arunachal Pradesh,27.68068,91.82504
Tirap,Arunachal Pradesh,26.94406,95.4147
Upper Dibang Valley,Arunachal Pradesh,29.01995,95.98776
Upper Siang,Arunachal Pradesh,28.83092,95.00156
Upper Subansiri,Arunachal Pradesh,28.2772,93.89915
West Kameng,Arunachal Pradesh,27.46487,92.65016
West Siang,Arunachal Pradesh,28.1063,94.53511
Barpeta,Assam,26.42787,90.97912
Bongaigaon,Assam,26.45013,90.67343
Cachar,Assam,24.81557,92.8685
Darrang,Assam,26.58463,92.04141
Dhemaji,Assam,27.58653,94.71337
Dhuburi,Assam,26.06911,89.99042
Dibrugarh,Assam,27.30612,95.09983
Goalpara,Assam,26.01728,90.5987
Golaghat,Assam,26.37722,93.82584
Hailakandi,Assam,24.4575,92.59155
Jorhat,Assam,26.76245,94.30198
Kamrup,Assam,26.17094,91.58863
Karbi Anglong,Assam,26.20431,93.39621
Karimganj,Assam,24.69661,92.36795
Kokrajhar,Assam,26.49725,90.13998
Lakhimpur,Assam,27.14129,94.0776
Marigaon,Assam,26.2465,92.2195
Nagaon,Assam,26.26462,92.93062
Nalbari,Assam,26.46323,91.40599
North Cachar Hills,Assam,25.3383,92.9774
Sibsagar,Assam,27.02763,94.90026
Sonitpur,Assam,26.73515,92.85198
Tinsukia,Assam,27.53549,95.69056
Araria,Bihar,26.21153,87.30767
Aurangabad,Bihar,24.77429,84.45986
Banka,Bihar,24.83235,86.86649
Begusarai,Bihar,25.54303,86.1256
Bhabua,Bihar,25.02157,83.61128
Bhagalpur,Bihar,25.27719,87.04214
Bhojpur,Bihar,25.50666,84.49408
Buxar,Bihar,25.48593,84.08808
Darbhanga,Bihar,26.14618,85.97387
Gaya,Bihar,24.72665,84.94291
Gopalganj,Bihar,26.44874,84.34636
Jamui,Bihar,24.78418,86.26316
Jehanabad,Bihar,25.15568,84.92081
Katihar,Bihar,25.56565,87.70466
Khagaria,Bihar,25.53559,86.56593
Kishanganj,Bihar,26.32153,87.94843
Lakhisarai,Bihar,25.18345,86.12826
Madhepura,Bihar,25.77342,86.89784
Madhubani,Bihar,26.41381,86.16329
Munger,Bihar,25.19854,86.54174
Muzaffarpur,Bihar,26.18664,85.32745
Nalanda,Bihar,25.22934,85.48053
Nawada,Bihar,24.82571,85.61594
Pashchim Champaran,Bihar,27.16065,84.30266
Patna,Bihar,25.40297,85.31984
Purba Champaran,Bihar,26.68129,85.00382
Purnia,Bihar,25.81715,87.40448
Rohtas,Bihar,24.99171,83.93508
Saharsa,Bihar,25.82127,86.54671
Samastipur,Bihar,25.7932,85.94833
Saran,Bihar,25.89656,84.82266
Sheikhpura,Bihar,25.12473,85.77839
Sheohar,Bihar,26.45838,85.2954
Sitamarhi,Bihar,26.53603,85.5732
Siwan,Bihar,26.17364,84.33767
Supaul,Bihar,26.28158,86.78497
Vaishali,Bihar,25.81347,85.39248
Chandigarh,Chandigarh,30.74259,76.75873
Bastar,Chhattisgarh,19.39386,81.52895
Bilaspur,Chhattisgarh,22.35974,81.97372
Dantewada,Chhattisgarh,18.65385,81.072
Dhamtari,Chhattisgarh,20.55491,81.75692
Durg,Chhattisgarh,21.19446,81.33182
Janjgir-Champa,Chhattisgarh,21.96109,82.80495
Jashpur,Chhattisgarh,22.77286,83.87039
Kanker,Chhattisgarh,20.13946,81.06913
Kawardha,Chhattisgarh,22.048,81.16271
Korba,Chhattisgarh,22.49171,82.57604
Koriya,Chhattisgarh,23.50413,82.12516
Mahasamund,Chhattisgarh,21.22372,82.65926
Raigarh,Chhattisgarh,22.00826,83.27798
Raipur,Chhattisgarh,20.88603,82.20033
Raj Nandgaon,Chhattisgarh,21.05841,80.78527
Surguja,Chhattisgarh,23.32719,83.23582
Dadra and Nagar Haveli,Dadra and Nagar Haveli,20.21513,73.09455
Daman,Daman and Diu,20.43162,72.83924
Junagadh,Daman and Diu,20.7329,70.78542
Delhi,Delhi,28.64594,77.12804
North Goa,Goa,15.54872,73.80668
South Goa,Goa,15.18182,73.95358
Ahmadabad,Gujarat,22.60542,72.23898
Amreli,Gujarat,21.06519,71.41293
Anand,Gujarat,22.29009,72.60058
Banas Kantha,Gujarat,24.25854,71.93205
Bharuch,Gujarat,21.77663,72.67627
Bhavnagar,Gujarat,21.50625,72.08028
Dahod,Gujarat,22.89799,73.99171
Gandhinagar,Gujarat,23.19368,72.67222
Jamnagar,Gujarat,22.38147,69.61295
Junagadh,Gujarat,20.93514,70.53823
Kachchh,Gujarat,23.27962,69.2301
Kheda,Gujarat,22.88765,73.0188
Mahesana,Gujarat,23.52935,72.45545
Narmada,Gujarat,21.70666,73.68403
Navsari,Gujarat,20.8729,72.86246
Panch Mahals,Gujarat,22.80435,73.61985
Patan,Gujarat,23.80634,71.75163
Porbandar,Gujarat,21.54951,69.71858
