district_clean,state_clean,year,month,outbreak_add,outbreak_cholera
ANDAMAN,ANDAMAN AND NICOBAR ISLANDS,2019,6,1,0
ANDAMAN,ANDAMAN AND NICOBAR ISLANDS,2019,10,1,0
NORTH AND MIDDLE ANDAMAN,ANDAMAN AND NICOBAR ISLANDS,2013,12,1,0
ANANTAPUR,ANDHRA PRADESH,2011,6,1,0
ANANTAPUR,ANDHRA PRADESH,2011,9,1,0
ANANTAPUR,ANDHRA PRADESH,2012,5,1,0
ANANTAPUR,ANDHRA PRADESH,2012,12,0,1
ANANTAPUR,ANDHRA PRADESH,2013,6,1,0
ANANTAPUR,ANDHRA PRADESH,2013,8,1,0
ANANTAPUR,ANDHRA PRADESH,2014,6,1,0
ANANTAPUR,ANDHRA PRADESH,2015,6,1,0
ANANTAPUR,ANDHRA PRADESH,2016,6,1,0
ANANTAPUR,ANDHRA PRADESH,2021,3,1,0
CHITTOOR,ANDHRA PRADESH,2010,4,1,0
CHITTOOR,ANDHRA PRADESH,2010,5,1,0
CHITTOOR,ANDHRA PRADESH,2010,6,1,0
CHITTOOR,ANDHRA PRADESH,2010,7,1,0
CHITTOOR,ANDHRA PRADESH,2010,11,1,0
CHITTOOR,ANDHRA PRADESH,2011,6,1,0
CHITTOOR,ANDHRA PRADESH,2011,11,1,0
CHITTOOR,ANDHRA PRADESH,2012,6,1,0
CHITTOOR,ANDHRA PRADESH,2012,9,1,0
CHITTOOR,ANDHRA PRADESH,2013,1,1,0
CHITTOOR,ANDHRA PRADESH,2013,2,1,0
CHITTOOR,ANDHRA PRADESH,2013,3,1,0
CHITTOOR,ANDHRA PRADESH,2013,4,1,0
CHITTOOR,ANDHRA PRADESH,2013,5,1,0
CHITTOOR,ANDHRA PRADESH,2013,11,1,0
CHITTOOR,ANDHRA PRADESH,2014,6,1,0
CHITTOOR,ANDHRA PRADESH,2014,7,1,0
CHITTOOR,ANDHRA PRADESH,2014,11,1,0
CHITTOOR,ANDHRA PRADESH,2015,3,1,0
CHITTOOR,ANDHRA PRADESH,2015,4,1,0
CHITTOOR,ANDHRA PRADESH,2015,5,1,0
CHITTOOR,ANDHRA PRADESH,2015,6,1,0
CHITTOOR,ANDHRA PRADESH,2016,1,1,0
CHITTOOR,ANDHRA PRADESH,2016,6,1,0
CHITTOOR,ANDHRA PRADESH,2016,7,1,0
CHITTOOR,ANDHRA PRADESH,2016,8,1,0
CHITTOOR,ANDHRA PRADESH,2016,9,1,0
CHITTOOR,ANDHRA PRADESH,2018,2,1,0
CHITTOOR,ANDHRA PRADESH,2019,6,1,0
CHITTOR,ANDHRA PRADESH,2011,8,1,0
CUDDAPAH,ANDHRA PRADESH,2012,5,1,0
CUDDAPAH,ANDHRA PRADESH,2016,6,1,0
