district_code,district_name,state_name,year,month,turbidity,ndci,cdom,ndwi,awei,lst_celsius
000001,Andaman Islands,Andaman and Nicobar,2019,1,0.1248,0.0459,0.6972,0.0218,-0.2234,27.3
000001,Andaman Islands,Andaman and Nicobar,2019,2,0.179,0.073,0.5296,-0.0566,-0.2463,26.6
000001,Andaman Islands,Andaman and Nicobar,2019,3,0.1121,-0.0074,0.3413,-0.145,-0.3013,28.94
000001,Andaman Islands,Andaman and Nicobar,2019,4,0.0546,0.0076,0.8198,-0.1181,-0.1932,23.73
000001,Andaman Islands,Andaman and Nicobar,2019,5,0.0728,0.0533,0.4274,-0.0699,-0.2601,27.12
000001,Andaman Islands,Andaman and Nicobar,2019,6,0.1149,0.1296,0.658,-0.1096,-0.0277,25.54
000001,Andaman Islands,Andaman and Nicobar,2019,7,0.1554,0.0152,0.4608,-0.0093,-0.0362,29.71
000001,Andaman Islands,Andaman and Nicobar,2019,8,0.1392,0.065,0.4382,-0.0826,-0.1561,32.37
000001,Andaman Islands,Andaman and Nicobar,2019,9,0.1622,0.0211,0.7086,-0.0558,-0.1777,31.04
000001,Andaman Islands,Andaman and Nicobar,2019,10,0.1515,0.0779,0.4741,-0.1247,-0.1669,30.93
000001,Andaman Islands,Andaman and Nicobar,2019,11,0.076,0.0444,0.434,-0.1957,-0.1187,32.07
000001,Andaman Islands,Andaman and Nicobar,2019,12,0.0964,0.0801,0.6542,-0.1516,-0.1639,32.61
000001,Andaman Islands,Andaman and Nicobar,2020,1,0.0982,0.0969,0.207,-0.0342,-0.1913,27.1
000001,Andaman Islands,Andaman and Nicobar,2020,2,0.1046,-0.0096,0.567,-0.0714,-0.0522,26.45
000001,Andaman Islands,Andaman and Nicobar,2020,3,0.0596,0.0349,0.7373,-0.0737,-0.253,29.54
000001,Andaman Islands,Andaman and Nicobar,2020,4,0.1049,0.0791,0.4947,-0.1262,-0.2392,23.61
000001,Andaman Islands,Andaman and Nicobar,2020,5,0.1148,0.0578,0.6008,-0.1188,-0.3415,26.74
000001,Andaman Islands,Andaman and Nicobar,2020,6,0.1279,0.0499,0.6358,0.0073,0.0786,29.72
000001,Andaman Islands,Andaman and Nicobar,2020,7,0.1579,0.0718,0.3722,-0.0271,-0.104,36.59
000001,Andaman Islands,Andaman and Nicobar,2020,8,0.1354,0.083,0.6548,-0.1185,0.0043,31.46
000001,Andaman Islands,Andaman and Nicobar,2020,9,0.1846,0.0467,0.8704,-0.1371,-0.0513,35.77
000001,Andaman Islands,Andaman and Nicobar,2020,10,0.0505,0.033,0.6149,-0.1403,-0.3551,28.21
