state_clean,year,month,outbreak_typhoid
ANDAMAN AND NICOBAR,2019,1,0
ANDAMAN AND NICOBAR,2019,2,0
ANDAMAN AND NICOBAR,2019,3,0
ANDAMAN AND NICOBAR,2019,4,0
ANDAMAN AND NICOBAR,2019,5,0
ANDAMAN AND NICOBAR,2019,6,0
ANDAMAN AND NICOBAR,2019,7,0
ANDAMAN AND NICOBAR,2019,8,0
ANDAMAN AND NICOBAR,2019,9,0
ANDAMAN AND NICOBAR,2019,10,0
ANDAMAN AND NICOBAR,2019,11,0
ANDAMAN AND NICOBAR,2019,12,0
ANDAMAN AND NICOBAR,2020,1,0
ANDAMAN AND NICOBAR,2020,2,0
ANDAMAN AND NICOBAR,2020,3,0
ANDAMAN AND NICOBAR,2020,4,0
ANDAMAN AND NICOBAR,2020,5,0
ANDAMAN AND NICOBAR,2020,6,0
ANDAMAN AND NICOBAR,2020,7,1
ANDAMAN AND NICOBAR,2020,8,1
ANDAMAN AND NICOBAR,2020,9,0
ANDAMAN AND NICOBAR,2020,10,0
ANDAMAN AND NICOBAR,2020,11,0
ANDAMAN AND NICOBAR,2020,12,0
ANDAMAN AND NICOBAR,2021,1,0
ANDAMAN AND NICOBAR,2021,2,0
ANDAMAN AND NICOBAR,2021,3,0
ANDAMAN AND NICOBAR,2021,4,0
ANDAMAN AND NICOBAR,2021,5,0
ANDAMAN AND NICOBAR,2021,6,0
ANDAMAN AND NICOBAR,2021,7,0
ANDAMAN AND NICOBAR,2021,8,0
ANDAMAN AND NICOBAR,2021,9,0
ANDAMAN AND NICOBAR,2021,10,0
ANDAMAN AND NICOBAR,2021,11,0
ANDAMAN AND NICOBAR,2021,12,0
ANDAMAN AND NICOBAR,2022,1,0
ANDAMAN AND NICOBAR,2022,2,0
ANDAMAN AND NICOBAR,2022,3,0
ANDAMAN AND NICOBAR,2022,4,0
ANDAMAN AND NICOBAR,2022,5,0
ANDAMAN AND NICOBAR,2022,6,0
ANDAMAN AND NICOBAR,2022,7,0
ANDAMAN AND NICOBAR,2022,8,0
ANDAMAN AND NICOBAR,2022,9,1
ANDAMAN AND NICOBAR,2022,10,0
ANDAMAN AND NICOBAR,2022,11,0
ANDAMAN AND NICOBAR,2022,12,0
ANDAMAN AND NICOBAR,2023,1,0
ANDAMAN AND NICOBAR,2023,2,0
ANDAMAN AND NICOBAR,2023,3,0
ANDAMAN AND NICOBAR,2023,4,0
ANDAMAN AND NICOBAR,2023,5,0
ANDAMAN AND NICOBAR,2023,6,0
ANDAMAN AND NICOBAR,2023,7,0
ANDAMAN AND NICOBAR,2023,8,0
ANDAMAN AND NICOBAR,2023,9,0
ANDAMAN AND NICOBAR,2023,10,0
ANDAMAN AND NICOBAR,2023,11,0
ANDAMAN AND NICOBAR,2023,12,0
ANDHRA PRADESH,2019,1,1
ANDHRA PRADESH,2019,2,0
ANDHRA PRADESH,2019,3,1
ANDHRA PRADESH,2019,4,0
ANDHRA PRADESH,2019,5,0
ANDHRA PRADESH,2019,6,0
ANDHRA PRADESH,2019,7,1
ANDHRA PRADESH,2019,8,1
ANDHRA PRADESH,2019,9,1
ANDHRA PRADESH,2019,10,0
ANDHRA PRADESH,2019,11,0
ANDHRA PRADESH,2019,12,0
ANDHRA PRADESH,2020,1,0
ANDHRA PRADESH,2020,2,1
ANDHRA PRADESH,2020,3,1
ANDHRA PRADESH,2020,4,1
ANDHRA PRADESH,2020,5,1
ANDHRA PRADESH,2020,6,1
ANDHRA PRADESH,2020,7,1
ANDHRA PRADESH,2020,8,1
ANDHRA PRADESH,2020,9,0
ANDHRA PRADESH,2020,10,1
ANDHRA PRADESH,2020,11,0
ANDHRA PRADESH,2020,12,0
ANDHRA PRADESH,2021,1,1
ANDHRA PRADESH,2021,2,0
ANDHRA PRADESH,2021,3,0
ANDHRA PRADESH,2021,4,0
ANDHRA PRADESH,2021,5,0
ANDHRA PRADESH,2021,6,1
ANDHRA PRADESH,2021,7,1
ANDHRA PRADESH,2021,8,1
ANDHRA PRADESH,2021,9,0
ANDHRA PRADESH,2021,10,1
ANDHRA PRADESH,2021,11,0
ANDHRA PRADESH,2021,12,1
ANDHRA PRADESH,2022,1,0
ANDHRA PRADESH,2022,2,1
ANDHRA PRADESH,2022,3,1
ANDHRA PRADESH,2022,4,0
ANDHRA PRADESH,2022,5,1
ANDHRA PRADESH,2022,6,1
ANDHRA PRADESH,2022,7,1
ANDHRA PRADESH,2022,8,1
ANDHRA PRADESH,2022,9,1
ANDHRA PRADESH,2022,10,1
ANDHRA PRADESH,2022,11,1
ANDHRA PRADESH,2022,12,1
ANDHRA PRADESH,2023,1,0
ANDHRA PRADESH,2023,2,1
ANDHRA PRADESH,2023,3,0
